d_codigo;Colonia;Tipo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1470;Molino de Rosas;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;207;Urbano;1
1470;Alfalfar;Barrio;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;2;10;206;Urbano;1
1480;Lomas de Plateros;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;209;Urbano;1
1490;Torres de Mixcoac;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;212;Urbano;1
1490;La Cascada;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;211;Urbano;1
1500;Santa Lucía;Pueblo;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;28;10;213;Urbano;1
1500;Miguel Gaona Armenta;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2704;Urbano;1
1509;Santa Lucía Chantepec;Pueblo;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;28;10;221;Urbano;1
1510;La Araña;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;223;Urbano;1
1510;Garcimarrero;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;222;Urbano;1
1510;Los Cedros;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2636;Urbano;1
1520;Estado de Hidalgo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;225;Urbano;1
1520;Ampliación Los Pirules;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;94;Urbano;1
1520;Ampliación Estado de Hidalgo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;226;Urbano;1
1520;Piru Santa Lucía;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;227;Urbano;1
1520;El Politoco;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;2841;Urbano;1
